{'name': 'Дмитрий', 'surname': 'Куликов', 'midname': 'Вячеславович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Грекова', 'building': 'дом 10', 'flat': '1', 'code': '127224', 'tele': 'NULL', 'post': 'nkpzapd@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Макар', 'surname': 'Марков', 'midname': 'Тарасович', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Шокальского', 'building': 'дом 6А', 'flat': '7', 'code': '127642', 'tele': 'NULL', 'post': 'ykcerko@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Радмир', 'surname': 'Зайцев', 'midname': 'Юрьевич', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Шокальского', 'building': 'дом 41 корпус 1', 'flat': '26', 'code': '127221', 'tele': 'NULL', 'post': 'okwsde@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Марат', 'surname': 'Алексеев', 'midname': 'Георгиевич', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Дежнёва', 'building': 'дом 27 корпус 1', 'flat': '42', 'code': '127081', 'tele': 'NULL', 'post': 'rvhggq@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Ильдар', 'surname': 'Осипов', 'midname': 'Романович', 'country': 'Россия', 'city': 'Москва', 'street': 'Заревый проезд', 'building': 'дом 15 корпус 2', 'flat': '10', 'code': '127282', 'tele': 'NULL', 'post': 'rrvdnir@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Лев', 'surname': 'Осипов', 'midname': 'Олегович', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Дежнёва', 'building': 'дом 29 корпус 1', 'flat': '21', 'code': '127081', 'tele': 'NULL', 'post': 'crezapleb@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Давид', 'surname': 'Сидоров', 'midname': 'Кириллович', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Грекова', 'building': 'дом 18 корпус 4', 'flat': '46', 'code': '127224', 'tele': 'NULL', 'post': 'hwjlrpnf@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Захар', 'surname': 'Орлов', 'midname': 'Юрьевич', 'country': 'Россия', 'city': 'Москва', 'street': 'улица Тихомирова', 'building': 'дом 7', 'flat': '49', 'code': '127282', 'tele': 'NULL', 'post': 'ivwgmgnd@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Евгений', 'surname': 'Тимофеев', 'midname': 'Романович', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Шокальского', 'building': 'дом 29 корпус 5', 'flat': '12', 'code': '127221', 'tele': 'NULL', 'post': 'quockpqi@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Рустам', 'surname': 'Титов', 'midname': 'Петрович', 'country': 'Россия', 'city': 'Москва', 'street': 'проезд Дежнёва', 'building': 'дом 34', 'flat': '11', 'code': '127081', 'tele': 'NULL', 'post': 'drwyafnp@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Роберт', 'surname': 'Киселев', 'midname': 'Ильич', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 50', 'flat': '10', 'code': '127282', 'tele': 'NULL', 'post': 'qrkdxk@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
{'name': 'Даниэль', 'surname': 'Филиппов', 'midname': 'Эдуардович', 'country': 'Россия', 'city': 'Москва', 'street': 'Полярная улица', 'building': 'дом 14 корпус 1', 'flat': '37', 'code': '127221', 'tele': 'NULL', 'post': 'mhvpxe@abn-mail.xyz', 'password': 'TheBestGuysEver1', 'card': 'NULL'}
